--ITERASI BARU--
36,10,8,9
37,11,9,11
38,11,10,10
39,11,8,8
40,8,9,10
41,8,11,8
42,9,10,10
43,10,10,9
44,10,8,11
45,9,11,8
46,11,9,10
47,11,10,9
48,8,10,8
49,11,11,10
50,8,10,11
51,11,10,11
52,9,8,9
53,10,11,10
54,9,10,10
55,10,8,8
56,10,10,10
57,10,11,10
58,8,10,10
59,11,11,11
60,9,9,8
61,11,11,9
62,8,9,11
63,8,8,8
64,11,11,9
65,10,10,11
66,11,8,8
67,11,10,8
68,8,11,11
69,9,9,9
70,9,11,9
71,10,10,11
72,8,9,9
73,9,11,8
74,11,8,11
75,11,10,11
76,8,9,8
77,8,10,8
78,11,9,11
79,11,9,9
80,8,11,11
81,10,11,10
82,8,8,9
83,11,8,10
84,8,9,11
85,9,11,11
86,11,10,11
87,11,9,8
88,9,11,10
89,8,9,9
90,9,9,8
91,8,8,9
92,8,8,10
93,10,8,8
94,10,9,8
95,9,8,9
96,10,11,9
97,9,9,11
98,11,11,9
99,10,9,8
100,9,8,10
101,10,8,8
102,10,9,8
103,10,11,9
104,9,8,10
105,10,9,11
106,10,10,11
107,9,9,11
108,8,10,9
109,9,11,8
110,9,9,9
111,8,10,8
112,10,8,11
113,11,8,10
114,11,10,11
115,10,8,10
116,11,9,9
117,10,9,8
118,10,10,9
119,9,9,11
120,11,10,9
121,11,11,11
122,11,9,11
123,11,9,11
124,8,9,10
125,11,10,10
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
19,8,10,11
20,10,10,9
21,8,9,9
22,9,8,8
23,9,10,9
24,11,9,9
25,10,11,8
26,9,9,11
27,10,9,9
28,9,11,9
29,8,11,10
30,8,11,9
31,10,8,10
32,8,9,10
33,8,9,9
34,11,8,9
35,10,9,9
36,10,8,9
37,11,9,11
38,11,10,10
39,11,8,8
40,8,9,10
41,8,11,8
42,9,10,10
43,10,10,9
44,10,8,11
45,9,11,8
46,11,9,10
47,11,10,9
48,8,10,8
49,11,11,10
50,8,10,11
51,11,10,11
52,9,8,9
53,10,11,10
54,9,10,10
55,10,8,8
56,10,10,10
57,10,11,10
58,8,10,10
59,11,11,11
60,9,9,8
61,11,11,9
62,8,9,11
63,8,8,8
64,11,11,9
65,10,10,11
66,11,8,8
67,11,10,8
68,8,11,11
69,9,9,9
70,9,11,9
71,10,10,11
72,8,9,9
73,9,11,8
74,11,8,11
75,11,10,11
76,8,9,8
77,8,10,8
78,11,9,11
--ITERASI BARU--
0,11,9,9
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
